City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,75.74,74,40,16.11,US,1685127382
1,enewetak,11.3474,162.3373,81.84,79,100,16.46,MH,1685127382
2,petropavlovsk-kamchatsky,53.0452,158.6483,43.39,76,75,4.47,RU,1685127383
3,petropolis,59.8944,30.2642,51.94,87,75,4.47,RU,1685127383
4,kralendijk,12.15,-68.2667,89.58,66,40,16.11,BQ,1685127383
5,belmonte,-15.8631,-38.8828,78.04,67,13,11.07,BR,1685127143
6,edinburgh of the seven seas,-37.0676,-12.3116,58.23,72,86,26.31,SH,1685127384
7,whitehorse,60.7161,-135.0538,53.82,61,40,16.11,CA,1685127384
8,berdigestyakh,62.0989,126.6992,32.0,80,8,6.2,RU,1685127384
9,ushuaia,-54.8,-68.3,38.82,87,75,32.21,AR,1685127384
10,talnakh,69.4865,88.3972,29.64,91,71,9.57,RU,1685127384
11,georgetown,5.4112,100.3354,78.75,83,40,5.75,MY,1685127292
12,port-aux-francais,-49.35,70.2167,41.02,98,99,20.2,TF,1685127384
13,beipiao,41.7919,120.7792,60.89,68,100,9.33,CN,1685127385
14,saint-pierre,-21.3393,55.4781,73.08,78,75,11.5,RE,1685127385
15,blackmans bay,-43.0167,147.3167,52.74,75,99,11.48,AU,1685127385
16,albany,42.6001,-73.9662,72.57,31,5,1.99,US,1685127385
17,torghay,49.6339,63.4981,66.29,41,0,9.31,KZ,1685127385
18,vilyuysk,63.7553,121.6247,35.24,76,14,4.83,RU,1685127385
19,tazovsky,67.4667,78.7,44.08,77,61,14.5,RU,1685127385
20,morondava,-20.2833,44.2833,73.04,74,0,8.01,MG,1685127385
21,avarua,-21.2078,-159.775,75.25,83,95,5.75,CK,1685127386
22,acarau,-2.8856,-40.12,81.21,83,92,13.24,BR,1685127170
23,puerto natales,-51.7236,-72.4875,37.85,65,75,17.27,CL,1685127276
24,belfast,54.5833,-5.9333,63.19,69,78,9.22,GB,1685127386
25,bethel,41.3712,-73.414,73.72,34,0,9.22,US,1685127386
26,ilabaya,-17.4208,-70.5133,74.46,40,70,9.37,PE,1685127386
27,chonchi,-42.6128,-73.8092,43.81,77,7,6.13,CL,1685127386
28,boone,39.0334,-92.3335,75.79,31,0,1.01,US,1685127386
